"","Date","Rainfall_Gallicano","Rainfall_Pontetetto","Rainfall_Monte_Serra","Rainfall_Orentano","Rainfall_Borgo_a_Mozzano","Rainfall_Piaggione","Rainfall_Calavorno","Rainfall_Croce_Arcana","Rainfall_Tereglio_Coreglia_Antelminelli","Rainfall_Fabbriche_di_Vallico","Temperature_Orentano","Temperature_Monte_Serra","Temperature_Ponte_a_Moriano","Temperature_Lucca_Orto_Botanico","Volume_POL","Volume_CC1","Volume_CC2","Volume_CSA","Volume_CSAL","Hydrometry_Monte_S_Quirico","Hydrometry_Piaggione","CoS","DIEC","LT2","PAG","SAL","imp1","imp2","imp3","imp4","imp5","Season"
"480",2011-04-25,0,0,0,0,0,0,0,0,0,0,16.95,13.75,18,18,-9700.607143,-15959.808,-12260.16,0,0,0.25,-1,6.08909090909091,3.5,13.0221649484536,2.14,5.74,6.19,3.5,12.9566666666667,2.14,5.74,"Spring"
"481",2011-04-26,0,0,0,0,0,0,0,0,0,0,17.2,12.85,16.55,17.15,-9700.607143,-15959.808,-12260.16,0,0,0.22,-1.01,6.09545454545455,3.54,13.019793814433,2.12,5.71,6.19,3.54,12.9566666666667,2.12,5.71,"Spring"
"482",2011-04-27,0,0,0,0,0,0,0,0.2,0,0,15.85,11.7,15.2,16.6,-9700.607143,-15959.808,-12260.16,0,0,0.22,-1.01,6.10181818181818,3.57,13.0174226804124,2.06,5.78,6.19,3.57,12.9566666666667,2.06,5.78,"Spring"
"483",2011-04-28,0,0,4.2,0,0,0,0,0.2,0,0,13.3,10.4,14.65,14.9,-9700.607143,-15959.808,-12260.16,0,0,0.23,-1.01,6.10818181818182,3.59,13.0150515463918,2.09,5.79,6.19,3.59,12.9566666666667,2.09,5.79,"Spring"
"484",2011-04-29,0,0.4,1,0,0,0.6,0,0,1.6,2.8,16.1,10.85,15.95,16.4,-9700.607143,-15959.808,-12260.16,0,0,0.22,-1.01,6.11454545454545,3.61,13.0126804123711,2.08,5.8,6.19,3.61,12.9566666666667,2.08,5.8,"Spring"
"485",2011-04-30,5.2,4.4,10.2,9.2,8.2,4,8,2,0.4,2.6,16.35,10.65,16.2,16.7,-9700.607143,-15959.808,-12260.16,0,0,0.21,-1.01,6.12090909090909,3.62,13.0103092783505,2.15,5.79,6.19,3.62,12.9566666666667,2.15,5.79,"Spring"
"486",2011-05-01,0,0,0,0,0,0,0,3,6.4,0,17,11.95,17.9,18.85,-9439.2,-15558.264,-12182.3136,0,0,0.21,-1.02,6.12727272727273,3.63,13.0079381443299,2.17,5.79,6.19,3.63,12.9566666666667,2.17,5.79,"Spring"
"487",2011-05-02,1.4,0,1,0,3.8,0,0.4,0,6.2,0.8,15.7,12.55,16.45,17.5,-9936,-16377.12,-12823.488,0,0,0.21,-1.01,6.13363636363636,3.64,13.0055670103093,2.18,5.75,6.19,3.64,12.9566666666667,2.18,5.75,"Spring"
"488",2011-05-03,0,0,0,0,1.6,1.4,1.8,0,2.6,0,17.5,12,17.15,18.95,-9936,-16377.12,-12823.488,0,0,0.18,-1.01,6.14,3.65,13.0031958762887,2.1,5.8,6.19,3.65,12.9566666666667,2.1,5.8,"Spring"
"489",2011-05-04,0.8,0,0.4,2.6,0,0,0.4,0,0.6,0.6,15.75,12.1,16.6,17.25,-9936,-16377.12,-12823.488,0,0,0.2,-1.02,6.14636363636364,3.66,13.000824742268,2.14,5.81,6.19,3.66,12.9566666666667,2.14,5.81,"Spring"
"490",2011-05-05,0.2,1.4,0,0.2,6.8,2.8,3.8,0,0,2,14.65,11.75,16.15,17.15,-9936,-16377.12,-12823.488,0,0,0.19,-1.03,6.15272727272727,3.67,12.9984536082474,2.16,5.81,6.19,3.67,12.9566666666667,2.16,5.81,"Spring"
"491",2011-05-06,0,0,0,0,0,0,0,0,0,0,15.6,12.85,16.75,17.4,-9936,-16377.12,-12823.488,0,0,0.19,-1.03,6.15909090909091,3.69,12.9960824742268,2.23,5.86,6.19,3.69,12.9566666666667,2.23,5.86,"Spring"
"492",2011-05-07,0,0,0,0,0,0,0,0,0,0,15.8,13.8,16.75,16.8,-9936,-16377.12,-12823.488,0,0,0.18,-1.04,6.16545454545455,3.71,12.9937113402062,2.2,5.88,6.19,3.71,12.9566666666667,2.2,5.88,"Spring"
"493",2011-05-08,0,0,0.2,0,0,0,0,0,0,0,16.15,13.2,16.95,17.35,-9439.2,-15558.264,-12182.3136,0,0,0.18,-1.03,6.17181818181818,3.72,12.9913402061856,2.3,5.87,6.19,3.72,12.9566666666667,2.3,5.87,"Spring"
"494",2011-05-09,0,0.2,0.2,0,0,0,0,0,0,0,16.95,11.15,18.1,18.7,-9936,-16377.12,-12823.488,0,0,0.19,-1.03,6.17818181818182,3.73,12.9889690721649,2.3,5.9,6.19,3.73,12.9566666666667,2.3,5.9,"Spring"
"495",2011-05-10,0,0,0,0,0,0,0,0,0,0,18.25,14.15,18,17.9,-9936,-16377.12,-12823.488,0,0,0.18,-1.03,6.18454545454545,3.74,12.9865979381443,2.24,5.89,6.19,3.74,12.9566666666667,2.24,5.89,"Spring"
"496",2011-05-11,0,0,0,0,0,0,0,0,0,0,17.25,15.3,18.4,18.5,-9936,-16377.12,-12823.488,0,0,0.19,-1.04,6.19090909090909,3.75,12.9842268041237,2.29,5.91,6.19,3.75,12.9566666666667,2.29,5.91,"Spring"
"497",2011-05-12,0,0,0,0,0,0,0,0,0,0,17.35,15,18.1,18.9,-9936,-16377.12,-12823.488,0,0,0.18,-1.04,6.19727272727273,3.75,12.9818556701031,2.28,5.92,6.19,3.75,12.9566666666667,2.28,5.92,"Spring"
"498",2011-05-13,0,0,0,0,0,0,0,0,0,0,19.1,14.5,18.6,20.05,-9936,-16377.12,-12823.488,0,0,0.18,-1.04,6.20363636363636,3.76,12.9794845360825,2.37,5.92,6.19,3.76,12.9566666666667,2.37,5.92,"Spring"
"499",2011-05-14,0,0,0,0,0,0,0,0,0,0,17.65,14.25,18.05,18.55,-9936,-16377.12,-12823.488,0,0,0.18,-1.04,6.21,3.77,12.9771134020619,2.32,5.91,6.21,3.77,12.9566666666667,2.32,5.91,"Spring"
"500",2011-05-15,7.2,0.4,9.4,0.6,3,1.4,4.6,2,15,8.2,14.9,8.65,14.2,15.3,-9439.2,-15558.264,-12182.3136,0,0,0.19,-1.03,6.15,3.77,12.9747422680412,2.4,5.87,6.15,3.77,12.9566666666667,2.4,5.87,"Spring"
"501",2011-05-16,5.8,4,0,5.2,13.2,3.2,10.4,15.6,0,19.8,14.65,9.4,14.5,15.95,-9936,-16377.12,-12823.488,0,0,0.18,-1.04,6.14,3.78,12.9723711340206,2.34,5.89,6.14,3.78,12.9566666666667,2.34,5.89,"Spring"
"502",2011-05-17,0,0,0,0,0,0,0,0,0,0,16.05,12.8,17.2,17.45,-9936,-16377.12,-12823.488,0,0,0.17,-1.04,6.22,3.79,12.97,2.34,5.92,6.22,3.79,12.97,2.34,5.92,"Spring"
"503",2011-05-18,0,0,0,0,0,0,0,0,0,0,17.2,15.25,19,19,-9936,-16377.12,-12823.488,0,0,0.18,-1.04,6.27,3.8,12.93,2.46,5.93,6.27,3.8,12.93,2.46,5.93,"Spring"
"504",2011-05-19,0,0,0,0,0,0,0,0,0,0,19.25,15.35,19.95,20.1,-9936,-16377.12,-12823.488,0,0,0.16,-1.04,6.32,3.8,12.92,2.41,5.95,6.32,3.8,12.92,2.41,5.95,"Spring"
"505",2011-05-20,0.8,0,0,0.2,0,0,0,0,0.6,0.4,20.65,16.4,20.15,21.6,-9936,-16377.12,-12823.488,0,0,0.15,-1.04,6.39,3.81,12.93,2.48,5.95,6.39,3.81,12.93,2.48,5.95,"Spring"
"506",2011-05-21,0,0,0,0,0,0,0,1,0,0,20.4,17.6,21.35,21.15,-9936,-16377.12,-12823.488,0,0,0.15,-1.05,6.49,3.81,12.92,2.43,5.95,6.49,3.81,12.92,2.43,5.95,"Spring"
"507",2011-05-22,0,0,0,0,0,0,2,0.2,0,0,21.65,18.65,22.6,22.55,-9439.2,-15558.264,-12182.3136,0,0,0.15,-1.05,6.62,3.82,12.91,2.54,5.97,6.62,3.82,12.91,2.54,5.97,"Spring"
"508",2011-05-23,0,0,0,0,0,0,0,0,0,0,22.15,20.25,23.7,23.6,-9936,-16377.12,-12823.488,0,0,0.15,-1.05,6.7,3.83,12.93,2.46,6.01,6.7,3.83,12.93,2.46,6.01,"Spring"
"509",2011-05-24,0,0,0,0,0,0,0,0,0,0,24.35,20.2,24.3,24.05,-9936,-16377.12,-12823.488,0,0,0.14,-1.05,6.7,3.84,12.94,2.47,6.03,6.7,3.84,12.94,2.47,6.03,"Spring"
"510",2011-05-25,0,0,0,0,0,0,0,0,0,0,23.3,21.3,24.95,24.6,-9936,-16377.12,-12823.488,0,0,0.15,-1.05,6.72,3.84,12.94,2.59,6.05,6.72,3.84,12.94,2.59,6.05,"Spring"
"511",2011-05-26,0,0,0,0,0,0,0,0,0,0,23.85,20.25,24.25,24.7,-9936,-16377.12,-12823.488,0,0,0.14,-1.06,6.72,3.85,12.93,2.61,6.09,6.72,3.85,12.93,2.61,6.09,"Spring"
"512",2011-05-27,0,0,0,0,0,0,0,0,0.2,0,20.5,15.65,21.45,22.7,-9936,-16377.12,-12823.488,0,0,0.15,-1.06,6.79,3.84,12.92,2.63,6.1,6.79,3.84,12.92,2.63,6.1,"Spring"
"513",2011-05-28,0.4,0.2,0,0,0.2,0.2,0.2,6.2,0,0.8,19.55,14.45,19.55,21.65,-9936,-16377.12,-12823.488,0,0,0.14,-1.07,6.81,3.86,12.9,2.63,6.08,6.81,3.86,12.9,2.63,6.08,"Spring"
"514",2011-05-29,0,0,0,0,0,0,0,0,0,0,19.35,15.75,20.5,20.95,-9439.2,-15558.264,-12182.3136,0,0,0.14,-1.07,6.86,3.86,12.95,2.66,6.12,6.86,3.86,12.95,2.66,6.12,"Spring"
"515",2011-05-30,0,0,0,0,0,0,0,0,0,0,20.85,17.9,21.95,22.15,-9936,-16377.12,-12823.488,0,0,0.14,-1.08,6.95,3.87,12.95,2.68,6.12,6.95,3.87,12.95,2.68,6.12,"Spring"
"516",2011-05-31,0,0,0.6,0,0,0,0,0,0,0,19.5,15.25,20.4,20.7,-9936,-16377.12,-12823.488,0,0,0.14,-1.07,7.01,3.88,12.95,2.66,6.11,7.01,3.88,12.95,2.66,6.11,"Spring"
"517",2011-06-01,5,7.4,9.8,4,9.6,6.8,5.8,5.8,9.8,8,21,14,20.15,20.4,-10972.8,-16097.184,-12735.36,0,0,0.15,-1.05,6.68,3.88,12.94,2.57,6.13,6.68,3.88,12.94,2.57,6.13,"Summer"
"518",2011-06-02,0.2,0,2.4,0,0,0,0.2,10.8,0,0.2,20.55,16.2,20.2,21.55,-10972.8,-16097.184,-12735.36,0,0,0.15,-1.06,6.99,3.88,12.97,2.59,6.08,6.99,3.88,12.97,2.59,6.08,"Summer"
"519",2011-06-03,0,22.4,0.4,1.2,0,0.8,0,4.2,0,0,22.45,17.55,21.9,22.3,-10972.8,-16097.184,-12735.36,0,0,0.16,-1.06,6.97,3.89,12.96,2.48,6.07,6.97,3.89,12.96,2.48,6.07,"Summer"
"520",2011-06-04,0,0,0,0.2,0,0,0,2.8,0.2,0.6,22.8,18.45,23.65,23.85,-10972.8,-16097.184,-12735.36,0,0,0.15,-1.07,6.98,3.9,12.95,2.46,6.11,6.98,3.9,12.95,2.46,6.11,"Summer"
"521",2011-06-05,0,0,59.2,0.4,0.8,0,0,35.2,22.8,0,22.1,17.05,22.2,23.25,-10424.16,-15292.3248,-12098.592,0,0,0.17,-1.05,6.98,3.91,12.92,2.52,6.09,6.98,3.91,12.92,2.52,6.09,"Summer"
"522",2011-06-06,14.2,31.4,6.4,29.2,30.2,48.4,29.8,16.6,5.2,15.8,21.4,16.65,20.6,21.55,-10972.8,-16097.184,-12735.36,0,0,0.18,-1.05,6.89,3.89,12.91,2.05,6.03,6.89,3.89,12.91,2.05,6.03,"Summer"
"523",2011-06-07,8,10.2,24.8,9.8,7.6,10.2,7.2,10,29.2,10.2,20.2,15.2,18.5,19.75,-10972.8,-16097.184,-12735.36,0,0,0.2,-1.03,6.72,3.9,12.89,2.14,6.04,6.72,3.9,12.89,2.14,6.04,"Summer"
"524",2011-06-08,22.6,6.8,2,4.4,18.4,19.8,21.2,7,28.8,25.4,19.55,13.8,18.7,19.65,-10972.8,-16097.184,-12735.36,0,0,0.26,-0.98,6.77,3.88,12.9,2.09,6.01,6.77,3.88,12.9,2.09,6.01,"Summer"
"525",2011-06-09,48.8,1.2,3.6,9.6,64.6,27.2,66.4,14,21,49,19.6,13.35,18.55,19.55,-10972.8,-16097.184,-12735.36,0,0,0.33,-0.98,6.76,3.85,12.93,1.84,5.99,6.76,3.85,12.93,1.84,5.99,"Summer"
"526",2011-06-10,0,0.6,0,0,0.4,0.6,0,0,0,1,19.25,13.75,18.45,20.05,-10972.8,-16097.184,-12735.36,0,0,0.26,-1.04,6.79,3.88,12.96,2.08,5.97,6.79,3.88,12.96,2.08,5.97,"Summer"
"527",2011-06-11,0,0,0.2,0,0,0,0,0,0,0,19.15,14.05,19.25,20.65,-10972.8,-16097.184,-12735.36,0,0,0.2,-1.05,6.82,3.93,12.95,2.09,5.97,6.82,3.93,12.95,2.09,5.97,"Summer"
"528",2011-06-12,0,0,0,0,0,0,0,0.6,0.6,0,19.95,14.3,19.95,21.6,-10424.16,-15292.3248,-12098.592,0,0,0.18,-1.06,6.85,3.96,12.95,2.23,5.92,6.85,3.96,12.95,2.23,5.92,"Summer"
"529",2011-06-13,7,0,0,0,0,0,0.2,6.8,0,0,19.9,14,20.2,22.15,-10972.8,-16097.184,-12735.36,0,0,0.16,-1.06,6.8,3.98,12.94,2.24,5.93,6.8,3.98,12.94,2.24,5.93,"Summer"
"530",2011-06-14,0,0,0,0,0,0,0,2.2,0.2,0,20.95,16.6,20.75,22.7,-10972.8,-16097.184,-12735.36,0,0,0.17,-1.06,6.84,4,12.93,2.25,6,6.84,4,12.93,2.25,6,"Summer"
"531",2011-06-15,0,0,0,0.2,0,0,0,0,0,0,22.5,18.65,23.25,24.1,-10972.8,-16097.184,-12735.36,0,0,0.15,-1.07,6.97,4.01,12.94,2.34,6.01,6.97,4.01,12.94,2.34,6.01,"Summer"
"532",2011-06-16,0,0,0,0,0,0,0,0,0,0,22.4,18.3,22.25,23.3,-10972.8,-16097.184,-12735.36,0,0,0.15,-1.07,7.06,4.02,12.94,2.34,6.03,7.06,4.02,12.94,2.34,6.03,"Summer"
"533",2011-06-17,0,0,0,0,0,0,0,0,0,0,21.8,17.05,21.5,22.7,-10972.8,-16097.184,-12735.36,0,0,0.15,-1.06,7.17,4.02,12.95,2.46,6.06,7.17,4.02,12.95,2.46,6.06,"Summer"
"534",2011-06-18,0,0,0,0,0,0,0,0.4,8.6,0,22.95,17.3,22.05,23.65,-10972.8,-16097.184,-12735.36,0,0,0.15,-1.07,7.22,4.03,12.91,2.48,6.07,7.22,4.03,12.91,2.48,6.07,"Summer"
"535",2011-06-19,7.2,0,0,0,2.2,0,4.2,2.4,0.2,1.6,19.85,13.9,19.35,21.1,-10424.16,-15292.3248,-12098.592,0,0,0.15,-1.06,7.2,4.03,12.89,2.48,6.02,7.2,4.03,12.89,2.48,6.02,"Summer"
"536",2011-06-20,0,0,0,0,0,0,0,0,0,0,20.5,15.85,20.5,21.75,-10972.8,-16097.184,-12735.36,0,0,0.15,-1.06,7.14,4.04,12.93,2.51,6.09,7.14,4.04,12.93,2.51,6.09,"Summer"
"537",2011-06-21,0,0,0,0,0,0,0,0,0,0,21.7,18.5,21.5,22.5,-10972.8,-16097.184,-12735.36,0,0,0.14,-1.08,7.18,4.05,12.95,2.54,6.11,7.18,4.05,12.95,2.54,6.11,"Summer"
"538",2011-06-22,0,0,0,0,0,0,0,0,0,0,23.35,19.95,23.9,24.1,-10972.8,-16097.184,-12735.36,0,0,0.14,-1.07,7.25,4.05,12.95,2.57,6.13,7.25,4.05,12.95,2.57,6.13,"Summer"
"539",2011-06-23,0,0,0,0,0,0,0,0,0,0,22.7,18.45,22.3,23.7,-10972.8,-16097.184,-12735.36,0,0,0.14,-1.07,7.13,4.05,12.93,2.59,6.11,7.13,4.05,12.93,2.59,6.11,"Summer"
"540",2011-06-24,0,0,0,0,0,0,0,0,0,0,22.6,16.75,22.2,23.25,-10972.8,-16097.184,-12735.36,0,0,0.14,-1.06,7.27,4.05,12.93,2.58,6.14,7.27,4.05,12.93,2.58,6.14,"Summer"
"541",2011-06-25,0,0,0,0,0,0,0,0.4,0,0,23.15,18.5,22.9,23.9,-10972.8,-16097.184,-12735.36,0,0,0.14,-1.05,7.37,4.05,12.96,2.64,6.16,7.37,4.05,12.96,2.64,6.16,"Summer"
"542",2011-06-26,0,0,0,0,0,0,0,0,0,0,24.1,19.75,24.3,25.25,-10424.16,-15292.3248,-12098.592,0,0,0.14,-1.05,7.41,4.05,12.99,2.66,6.16,7.41,4.05,12.99,2.66,6.16,"Summer"
"543",2011-06-27,0,0,0,0,0,0,0,0,0,0,23.75,21.05,23.65,24.85,-10972.8,-16097.184,-12735.36,0,0,0.14,-1.05,7.41,4.06,12.98,2.68,6.17,7.41,4.06,12.98,2.68,6.17,"Summer"
"544",2011-06-28,0,0,0,0,0,0,0,0,0,0,25.35,20.7,24.55,25.65,-10972.8,-16097.184,-12735.36,0,0,0.15,-1.04,7.43,4.06,12.96,2.71,6.18,7.43,4.06,12.96,2.71,6.18,"Summer"
"545",2011-06-29,0,0,0,0,0,0,0,0,0.2,0,26.15,20.8,24.6,27.25,-10972.8,-16097.184,-12735.36,0,0,0.15,-1.04,7.48,4.08,12.95,2.72,6.19,7.48,4.08,12.95,2.72,6.19,"Summer"
"546",2011-06-30,6.2,0,0,0,1,0,0.2,3.4,0,6.6,24.65,18.65,24.4,25.95,-10972.8,-16097.184,-12735.36,0,0,0.15,-1.04,7.31,4.08,12.96,2.73,6.17,7.31,4.08,12.96,2.73,6.17,"Summer"
"547",2011-07-01,0,0,0,0,0,0,0,0,7.6,0,24.65,17.95,24.05,25.75,-11638.08,-16328.304,-12640.32,0,0,0.15,-1.04,7.24,4.09,12.97,2.74,6.19,7.24,4.09,12.97,2.74,6.19,"Summer"
"548",2011-07-02,1.2,0,0,0,0,0,0,33.4,5,0.2,20.85,15.9,21.2,21.9,-11638.08,-16328.304,-12640.32,0,0,0.14,-1.05,7.38,4.09,12.97,2.76,6.19,7.38,4.09,12.97,2.76,6.19,"Summer"
"549",2011-07-03,6.8,0,0,0.2,2.4,1.2,4.4,6,0,3,20.95,16.35,21.25,22.05,-11056.176,-15511.8888,-12008.304,0,0,0.14,-1.05,7.37,4.1,12.99,2.76,6.14,7.37,4.1,12.99,2.76,6.14,"Summer"
"550",2011-07-04,0,0,0.4,0,0,0,0,0,0.8,0,22.9,17.3,22.1,23.45,-11638.08,-16328.304,-12640.32,0,0,0.15,-1.05,7.4,4.11,13.01,2.69,6.17,7.4,4.11,13.01,2.69,6.17,"Summer"
"551",2011-07-05,8.4,1.8,0,0.6,7.4,2.4,8.2,1.4,7,24.4,24.35,18.3,23.3,24.55,-11638.08,-16328.304,-12640.32,0,0,0.14,-1.05,7.41,4.11,13,2.68,6.17,7.41,4.11,13,2.68,6.17,"Summer"
"552",2011-07-06,0,0,0,0,0,0,0,0.2,0,0,24.55,18.9,23.65,25,-11638.08,-16328.304,-12640.32,0,0,0.14,-1.05,7.46,4.12,13.01,2.88,6.18,7.46,4.12,13.01,2.88,6.18,"Summer"
"553",2011-07-07,0,0,0,0,0,0,0,0,0,0,24.85,19.85,24.6,25.65,-11638.08,-16328.304,-12640.32,0,0,0.13,-1.06,7.58,4.13,13.04,2.82,6.18,7.58,4.13,13.04,2.82,6.18,"Summer"
"554",2011-07-08,0,0,0,0,0,0,0,0,0,0,26.4,21.05,25.05,26.35,-11638.08,-16328.304,-12640.32,0,0,0.14,-1.05,7.68,4.14,13.05,2.87,6.18,7.68,4.14,13.05,2.87,6.18,"Summer"
"555",2011-07-09,0,0,0,0,0,0,0,0,0,0,25.75,20.6,25.35,26.2,-11638.08,-16328.304,-12640.32,0,0,0.13,-1.06,7.79,4.15,13.07,2.87,6.24,7.79,4.15,13.07,2.87,6.24,"Summer"
"556",2011-07-10,0,0,0,0,0,0,0,0,0,0,26.45,21.45,25.95,26.95,-11056.176,-15511.8888,-12008.304,0,0,0.16,-1.06,7.86,4.16,13.09,2.88,6.22,7.86,4.16,13.09,2.88,6.22,"Summer"
"557",2011-07-11,0,0,0,0,0,0,0,0,0,0,27.15,22.55,26.75,27.35,-11638.08,-16328.304,-12640.32,0,0,0.13,-1.07,7.86,4.17,13.08,2.89,6.22,7.86,4.17,13.08,2.89,6.22,"Summer"
"558",2011-07-12,0,0,0,0,0,0,0,0,0,0,28.2,24.5,27.9,28.5,-11638.08,-16328.304,-12640.32,0,0,0.14,-1.05,7.94,4.17,13.09,3.06,6.28,7.94,4.17,13.09,3.06,6.28,"Summer"
"559",2011-07-13,0,0,0,0,0,0,0,0,0,0,28.25,23,27.5,28.4,-11638.08,-16328.304,-12640.32,0,0,0.14,-1.05,8.02,4.18,13.07,3.04,6.22,8.02,4.18,13.07,3.04,6.22,"Summer"
"560",2011-07-14,0,0,0,0,0,0,0,0,0,0,25.05,18.65,24.05,26.55,-11638.08,-16328.304,-12640.32,0,0,0.12,-1.06,8.05,4.19,13.09,3.09,6.13,8.05,4.19,13.09,3.09,6.13,"Summer"
"561",2011-07-15,0,0,0,0,0,0,0,0,0,0.2,22.75,16.5,21.65,23.8,-11638.08,-16328.304,-12640.32,0,0,0.12,-1.06,8.11,4.2,13.14,3,6.14,8.11,4.2,13.14,3,6.14,"Summer"
"562",2011-07-16,0,0,0,0,0,0,0,0,0,0,21.65,16.15,21.2,22.9,-11638.08,-16328.304,-12640.32,0,0,0.12,-1.06,8.16,4.21,13.15,3.08,6.12,8.16,4.21,13.15,3.08,6.12,"Summer"
"563",2011-07-17,0,0.6,0,0,0.8,0,0,0,0,0,24.1,18,22.6,24.45,-11056.176,-15511.8888,-12008.304,0,0,0.13,-1.06,8.02,4.22,13.11,2.98,6.08,8.02,4.22,13.11,2.98,6.08,"Summer"
"564",2011-07-18,0.4,0,0,0,0,0,0,1,0.4,0.4,21.65,14.9,20.1,22.55,-11638.08,-16328.304,-12640.32,0,0,0.12,-1.06,8.14,4.22,13.09,2.96,6.08,8.14,4.22,13.09,2.96,6.08,"Summer"
"565",2011-07-19,0,0,19,0,0,0,0,0,20,0,20.2,15.3,20.1,21.95,-11638.08,-16328.304,-12640.32,0,0,0.13,-1.05,8.15,4.23,13.09,2.97,6.12,8.15,4.23,13.09,2.97,6.12,"Summer"
"566",2011-07-20,24,21.2,0,16,22.2,27.2,24,18,2.2,24,20.35,12.9,19.2,20.5,-11638.08,-16328.304,-12640.32,0,0,0.14,-1.05,8.12,4.21,13.08,2.81,6.08,8.12,4.21,13.08,2.81,6.08,"Summer"
"567",2011-07-21,0,0,2.6,0,0,0,0,0,0,0,20,13.8,19.35,20.8,-11638.08,-16328.304,-12640.32,0,0,0.13,-1.06,8.06,4.22,13.1,2.86,6.04,8.06,4.22,13.1,2.86,6.04,"Summer"
"568",2011-07-22,0,1.4,0,0,0,0,0.2,0,0,0,22.4,15.7,21.3,23.6,-11638.08,-16328.304,-12640.32,0,0,0.13,-1.07,8.05,4.23,13.1,2.85,6.22,8.05,4.23,13.1,2.85,6.22,"Summer"
"569",2011-07-23,0,0,0,0,0,0,0,0,0,0,20.65,15.15,20.15,21.3,-11638.08,-16328.304,-12640.32,0,0,0.13,-1.07,8.11,4.24,13.09,2.88,6.23,8.11,4.24,13.09,2.88,6.23,"Summer"
"570",2011-07-24,3.8,0,4,0,6.8,1.8,4.4,2,1.6,7,20.9,14.75,19.75,22,-11056.176,-15511.8888,-12008.304,0,0,0.13,-1.06,8.17,4.24,13.07,2.9,6.16,8.17,4.24,13.07,2.9,6.16,"Summer"
"571",2011-07-25,0,11.2,0.2,2.8,0,0,0,0,1.6,0,19.25,14.5,19.5,21.05,-11638.08,-16328.304,-12640.32,0,0,0.12,-1.07,8.18714285714286,4.25,13.08,2.88,6.18,8.15,4.25,13.08,2.88,6.18,"Summer"
"572",2011-07-26,0,0,0,0,0,0,0,0.6,0,0,21.1,16.45,20.7,21.25,-11638.08,-16328.304,-12640.32,0,0,0.11,-1.07,8.20428571428571,4.26,13.11,2.91,6.23,8.15,4.26,13.11,2.91,6.23,"Summer"
"573",2011-07-27,0,0,10.4,0,0,0,0,0.2,1.2,0,18.1,14,18.05,18.3,-11638.08,-16328.304,-12640.32,0,0,0.12,-1.06,8.22142857142857,4.27,13.14,2.91240740740741,6.24,8.185,4.27,13.14,2.9,6.24,"Summer"
"574",2011-07-28,0.2,4.2,0.2,5.6,1.4,1.6,1.4,7.2,8.8,1,20.9,15.55,21,21.85,-11638.08,-16328.304,-12640.32,0,0,0.12,-1.06,8.23857142857143,4.28,13.12,2.91481481481481,6.22,8.2675,4.28,13.12,2.9,6.22,"Summer"
"575",2011-07-29,15.2,0,20.4,0,1.4,0,5.8,0,0.2,2,21.8,15.6,21.4,22.45,-11638.08,-16328.304,-12640.32,0,0,0.12,-1.06,8.25571428571429,4.29,13.12,2.91722222222222,6.16,8.3,4.29,13.12,2.9,6.16,"Summer"
"576",2011-07-30,0,0,0,3.8,4.8,3,0,6.8,0,8.8,21.45,16.35,21.25,22.7,-11638.08,-16328.304,-12640.32,0,0,0.12,-1.06,8.27285714285714,4.28,13.11,2.91962962962963,6.22,8.3,4.28,13.11,2.9,6.22,"Summer"
"577",2011-07-31,0,0,0,0,0,0,0,0,0.2,0,22.45,17.9,21.85,22.8,-11056.176,-15511.8888,-12008.304,0,0,0.12,-1.07,8.29,4.28,13.1,2.92203703703704,6.2,8.29,4.28,13.1,2.9,6.2,"Summer"
"578",2011-08-01,5.2,0,0,0,0,0,0,33.6,1.6,0.4,22.7,18.55,22.45,23.2,-10731.744,-16459.2,-12078.72,0,0,0.12,-1.07,8.32,4.3,13.11,2.92444444444444,6.2,8.32,4.3,13.11,2.9,6.2,"Summer"
"579",2011-08-02,0,0,0,0,0,0,0,12.4,0,0,23.35,19.85,23.3,23.9,-10731.744,-16459.2,-12078.72,0,0,0.12,-1.07,8.43,4.3,13.15,2.92685185185185,6.23,8.43,4.3,13.15,2.9,6.23,"Summer"
"580",2011-08-03,0,0,0,0,0,0,0,0,0,0,22.8,19.6,22.75,23.3,-10731.744,-16459.2,-12078.72,0,0,0.12,-1.07,8.54,4.31,13.16,2.92925925925926,6.25,8.54,4.31,13.16,2.9,6.25,"Summer"
"581",2011-08-04,0,0,0,0,0,0,0,0,0,0,23.4,18.9,23.6,24.25,-10731.744,-16459.2,-12078.72,0,0,0.12,-1.07,8.64,4.32,13.14,2.93166666666667,6.25,8.64,4.32,13.14,2.9,6.25,"Summer"
"582",2011-08-05,0,0,0,0,0,0,0,0,0,0,24.75,20.9,24.1,25.15,-10731.744,-16459.2,-12078.72,0,0,0.12,-1.07,8.67,4.32,13.14,2.93407407407407,6.29,8.67,4.32,13.14,2.9,6.29,"Summer"
"583",2011-08-06,0,0,0,0,0,0,0,6.4,0,0,24.75,20.25,24.15,25,-10731.744,-16459.2,-12078.72,0,0,0.12,-1.07,8.65,4.33,13.14,2.93648148148148,6.29,8.65,4.33,13.14,2.9,6.29,"Summer"
"584",2011-08-07,0,0,0,0,0,0,0,0,0,0,24.95,19.35,24.35,25.25,-10195.1568,-15636.24,-11474.784,0,0,0.12,-1.07,8.61,4.35,13.14,2.93888888888889,6.22,8.61,4.35,13.14,2.9,6.22,"Summer"
